defining_file	declaring_file	definitions	scopes
src/oblib/common/ob_data_version_mgr.cpp	src/oblib/common/ob_data_version_mgr.h	9	oceanbase::common::ObDataVersionMgr=9
src/oblib/common/ob_field.cpp	src/oblib/common/ob_field.h	14	oceanbase::common::ObField=11;oceanbase::common::ObParamedSelectItemCtx=3
src/oblib/common/ob_file_common_header.cpp	src/oblib/common/ob_file_common_header.h	9	oceanbase::common::ObFileCommonHeader=9
src/oblib/common/ob_hex_utils_base.cpp	src/oblib/common/ob_hex_utils_base.h	2	oceanbase::common::ObHexUtilsBase=2
src/oblib/common/ob_obj_deep_copy.cpp	src/oblib/lib/utility/utility.h	2	oceanbase::common::deep_copy_obj=1;oceanbase::common::deep_copy_objparam=1
src/oblib/common/ob_range.cpp	src/oblib/common/ob_range.h	31	oceanbase::common::ObNewVersionRange=8;oceanbase::common::ObVersion=8;oceanbase::common::ObVersionRange=8
src/oblib/common/ob_record_header.cpp	src/oblib/common/ob_record_header.h	7	oceanbase::common::ObRecordHeader=7
src/oblib/common/ob_role.cpp	src/oblib/common/ob_role.h	6	oceanbase::common::is_follower=1;oceanbase::common::is_leader_like=1;oceanbase::common::is_standby_leader=1
src/oblib/common/ob_store_format.cpp	src/oblib/common/ob_store_format.h	5	oceanbase::common::ObStoreFormat=5
src/oblib/common/ob_store_range.cpp	src/oblib/common/ob_common_types.h	6	oceanbase::common::ObQueryFlag=6
src/oblib/common/ob_store_range.cpp	src/oblib/common/ob_store_range.h	4	oceanbase::common::ObStoreRange=4
src/oblib/common/ob_string_buf.ipp	src/oblib/common/ob_string_buf.h	9	oceanbase::common::ObStringBufT=9
src/oblib/common/ob_tablet_id.cpp	src/oblib/common/ob_tablet_id.h	4	oceanbase::common::ObTabletID=4
src/oblib/common/ob_timeout_ctx.cpp	src/oblib/common/ob_timeout_ctx.h	14	oceanbase::common::ObTimeoutCtx=14
src/oblib/common/ob_version_def.cpp	src/oblib/common/ob_version_def.h	5	oceanbase::common::VersionUtil=4;oceanbase::common::ObVersionPrinter=1
src/oblib/common/object/ob_obj_compare.cpp	src/oblib/common/object/ob_obj_compare.h	8	oceanbase::common::ObObjCmpFuncs=8
src/oblib/common/object/ob_obj_type.cpp	src/oblib/common/object/ob_obj_type.h	17	oceanbase::common::INT_MAX_VAL=1;oceanbase::common::INT_MIN_VAL=1;oceanbase::common::REAL_MAX_VAL=1
src/oblib/common/object/ob_object.cpp	src/oblib/common/object/ob_object.h	117	oceanbase::common::ObObj=35;oceanbase::common::ObLobLocatorV2=28;oceanbase::common::ObDocId=8
src/oblib/common/row/ob_row.cpp	src/oblib/common/row/ob_row.h	11	oceanbase::common::ObNewRow=8;oceanbase::common::ObColumnInfo=3
src/oblib/common/row/ob_row_checksum.cpp	src/oblib/common/row/ob_row_checksum.h	4	oceanbase::common::ObRowChecksumValue=4
src/oblib/common/row/ob_row_desc.cpp	src/oblib/common/row/ob_row_desc.h	11	oceanbase::common::ObRowDesc=11
src/oblib/common/row/ob_row_store.cpp	src/oblib/common/row/ob_row_store.h	26	oceanbase::common::ObRowStore=17;oceanbase::common::ObRowStore::Iterator=5;oceanbase::common::ObRowStore::BlockList=4
src/oblib/common/row/ob_row_util.cpp	src/oblib/common/row/ob_row_util.h	2	oceanbase::common::ObRowUtil=2
src/oblib/common/rowkey/ob_rowkey.cpp	src/oblib/common/rowkey/ob_rowkey.h	19	oceanbase::common::ObRowkey=19
src/oblib/common/rowkey/ob_rowkey_info.cpp	src/oblib/common/rowkey/ob_rowkey_info.h	27	oceanbase::common::ObRowkeyInfo=21;oceanbase::common::ObRowkeyColumn=6
src/oblib/common/rowkey/ob_store_rowkey.cpp	src/oblib/common/rowkey/ob_store_rowkey.h	8	oceanbase::common::ObStoreRowkey=5;oceanbase::common::ObExtStoreRowkey=3
src/oblib/common/sql_mode/ob_sql_mode_utils.cpp	src/oblib/common/sql_mode/ob_sql_mode_utils.h	3	oceanbase::common::is_sql_mode_supported=1;oceanbase::common::ob_sql_mode_to_str=1;oceanbase::common::ob_str_to_sql_mode=1
src/oblib/common/storage/ob_freeze_define.cpp	src/oblib/common/storage/ob_freeze_define.h	6	oceanbase::storage::ObFrozenStatus=6
src/oblib/common/storage/ob_sequence.cpp	src/oblib/common/storage/ob_sequence.h	1	oceanbase::common::ObSequence=1
src/oblib/common/timezone/localtime.c	src/oblib/common/timezone/private.h	7	ctime=1;ctime_r=1;gmtime=1
src/oblib/common/timezone/ob_time_convert.cpp	src/oblib/common/timezone/ob_time_convert.h	182	oceanbase::common::ObTimeConverter=155;oceanbase::common::ObTime=3;oceanbase::common::DAYS_UNTIL_MON=1
src/oblib/common/timezone/ob_time_convert.cpp	src/oblib/lib/trace/ob_trace_event.h	1	oceanbase::common::trace_event_datetime_to_str=1
src/oblib/common/timezone/ob_timezone_info.cpp	src/oblib/common/timezone/ob_timezone_info.h	84	oceanbase::common::ObTimeZoneInfoPos=22;oceanbase::common::ObTimeZoneInfo=12;oceanbase::common::ObTZRevertTypeInfo=11
src/oblib/common/timezone/ob_timezone_util.cpp	src/oblib/common/timezone/ob_timezone_util.h	7	oceanbase::common::ObTimezoneUtils=7
src/oblib/common/udt/ob_array_binary.cpp	src/oblib/common/udt/ob_array_binary.h	26	oceanbase::common::ObArrayBinary=26
src/oblib/common/udt/ob_array_fixed_size.ipp	src/oblib/common/udt/ob_array_fixed_size.h	24	oceanbase::common::ObArrayFixedSize=24
src/oblib/common/udt/ob_array_nested.cpp	src/oblib/common/udt/ob_array_nested.h	22	oceanbase::common::ObArrayNested=22
src/oblib/common/udt/ob_array_type.cpp	src/oblib/common/udt/ob_array_type.h	2	oceanbase::common::ObArrayTypeObjFactory=2
src/oblib/common/udt/ob_array_utils.cpp	src/oblib/common/udt/ob_array_utils.h	2	oceanbase::common::ObArrayUtil=2
src/oblib/common/udt/ob_collection_type.cpp	src/oblib/common/udt/ob_collection_type.h	37	oceanbase::common::ObSqlCollectionInfo=20;oceanbase::common::ObCollectionArrayType=7;oceanbase::common::ObCollectionBasicType=5
src/oblib/common/udt/ob_map_type.cpp	src/oblib/common/udt/ob_map_type.h	10	oceanbase::common::ObMapType=10
